Name,Ticket Price,Top Prize,Odds,Original Tickets,Current Tickets,Expected Value,ROI Percentage,Total Prize Pool Remaining
extreme-payday,$10.0,"$200,000",1:4.18,"1,125,941.52","52,279.259999999995",$-0.45,-4.457331645474696,"$499,490.00"
blistering-hot-7s,$10.0,"$200,000",1:4.02,"1,259,100.18","62,004.479999999996",$-1.32,-13.190143679940542,"$538,260.00"
my-lottery-dream-home,$20.0,"$500,000",1:3.46,"918,896.42","124,082.52",$-2.66,-13.321795850052052,"$2,151,050.00"
gold-7s,$10.0,"$200,000",1:3.94,"1,228,074.3599999999","109,413.8",$-1.71,-17.07535978094171,"$907,310.00"
big-money-bingo,$5.0,"$75,000",1:3.79,"1,283,271.26","139,722.14",$-0.90,-18.01871915216875,"$572,730.00"
diamond-white,$10.0,"$200,000",1:3.85,"1,005,697.0","230,749.75",$-1.86,-18.61421301648214,"$1,877,975.00"
200x-cash-blitz,$20.0,"$500,000",1:4.66,"2,703,279.98","631,360.1",$-4.11,-20.529425283605978,"$10,034,910.00"
cah-blast,$5.0,"$100,000",1: 3.75,"1,334,737.5","80,996.25",$-1.09,-21.818602713088566,"$316,620.00"
jumbo-bucks-limited,$10.0,"$200,000",1:3.81,"992,958.39","297,343.83",$-2.39,-23.922248529589467,"$2,262,125.00"
500000-extreme-cash,$20.0,"$500,000",1:3.45,"1,258,104.6","1,115,961.1500000001",$-4.87,-24.36909654068156,"$16,880,230.00"
colossal-cash,$20.0,"$500,000",1:3.50,"1,571,038.0","941,699.5",$-5.04,-25.219775522871135,"$14,084,100.00"
cruisin-the-coast-2,$5.0,"$100,000",1:3.67,"1,005,818.5499999999","484,183.1",$-1.34,-26.886337007632015,"$1,770,020.00"
red-hot-cash,$10.0,"$200,000",1:4.07,"854,793.6100000001","570,243.63",$-2.69,-26.88826703772212,"$4,169,150.00"
cash-in-a-flash,$5.0,"$100,000",1:4.97,"1,376,083.66","263,191.32",$-1.37,-27.324730921977213,"$956,375.00"
lucky-dog,$5.0,"$100,000",1:4.03,"1,319,280.9500000002","182,607.36000000002",$-1.39,-27.8665438238634,"$658,605.00"
100-million-extravaganza,$20.0,"$500,000",1:3.40,"7,528,514.6","640,196.2",$-5.61,-28.059007535502396,"$9,211,270.00"
triple-red-7s,$10.0,"$200,000",1:3.83,"881,011.0700000001","881,011.0700000001",$-2.82,-28.17105010950658,"$6,328,210.00"
cruisin-the-coast-ii,$5.0,"$50,000",1:4.79,"1,371,491.96","844,065.06",$-1.42,-28.389880277712248,"$3,022,180.00"
gold-bar-bingo,$5.0,"$75,000",1:3.57,"1,193,076.15","816,298.35",$-1.45,-28.992016215639776,"$2,898,185.00"
spectacular-riches,$10.0,"$200,000",1:4.59,"879,489.9","490,840.82999999996",$-2.91,-29.115921346641016,"$3,479,280.00"
blazing-hot-bucks,$5.0,"$100,000",1:3.95,"1,128,305.6500000001","752,518.4500000001",$-1.50,-29.900323374131233,"$2,637,565.00"
cahtastic,$5.0,"$100,000",1:4.05,"1,383,804.0","250,577.55",$-1.52,-30.35808674799479,"$872,535.00"
50x-the-money,$10.0,"$200,000",1:3.59,"1,129,848.39","609,610.72",$-3.04,-30.44372644890497,"$4,240,225.00"
gold-rush-2,$5.0,"$100,000",1:3.91,"1,257,037.6300000001","1,021,835.49",$-1.53,-30.56299111317811,"$3,547,660.00"
hit-it-big,$5.0,"$50,000",1:4.42,"1,704,453.66","273,301.86",$-1.54,-30.8621609819999,"$944,775.00"
fun-5s,$5.0,"$100,000",1: 4.31,"1,382,178.21","411,656.72",$-1.57,-31.48368864232315,"$1,410,260.00"
cash-winfall,$10.0,"$100,000",1:4.77,"1,764,322.8299999998","600,953.22",$-3.16,-31.572294429173702,"$4,112,185.00"
stacks-of-cash,$5.0,"$100,000",1:3.82,"1,383,871.4","591,943.38",$-1.59,-31.87169353933818,"$2,016,405.00"
wild-money,$5.0,"$100,000",1:4.02,"1,383,607.6199999999","263,840.63999999996",$-1.61,-32.16473398487814,"$894,885.00"
200000-fortune-2,$10.0,"$200,000",1:4.64,"3,235,397.76","863,058.5599999999",$-3.25,-32.45632138797162,"$5,829,415.00"
super-cashword,$5.0,"$75,000",1:4.07,"1,133,429.8800000001","537,374.31",$-1.64,-32.79842499355804,"$1,805,620.00"
20x-the-money,$5.0,"$100,000",1:4.03,"1,498,668.34","588,549.26",$-1.64,-32.8477619698307,"$1,976,120.00"
10000-payout,$10.0,"$10,000",1:3.83,"1,205,335.47","70,483.49",$-3.29,-32.86229158062405,"$473,210.00"
5-times-the-joy,$5.0,"$100,000",1:3.94,"1,351,750.96","744,896.4",$-1.68,-33.69628313413784,"$2,469,470.00"
5x-the-cash-2,$5.0,"$100,000",1:3.94,"1,351,750.96","744,896.4",$-1.68,-33.69628313413784,"$2,469,470.00"
lucky-doubler,$2.0,"$20,000",1:4.47,"1,121,956.5899999999","504,779.22",$-0.71,-35.52448533836237,"$650,918.00"
25000-mad-money,$2.0,"$25,000",1:4.69,"1,125,098.1700000002","1,125,098.1700000002",$-0.73,-36.565535432343644,"$1,427,400.00"
15x-crossword,$3.0,"$40,000",1:4.15,"1,833,038.4000000001","1,148,773.9500000002",$-1.10,-36.804451389239816,"$2,177,922.00"
bingo-mania,$3.0,"$30,000",1:4.03,"2,340,861.77","564,993.91",$-1.11,-37.15023701169925,"$1,065,292.00"
it-takes-2,$2.0,"$20,000",1:4.65,"1,671,874.9500000002","436,411.80000000005",$-0.74,-37.166341515055294,"$548,427.00"
skee-ball,$3.0,"$40,000",1:4.21,"1,828,731.38","509,178.45",$-1.12,-37.347440109978464,"$957,040.00"
high-roller,$2.0,"$20,000",1:4.53,"1,256,273.1900000002","481,973.88",$-0.75,-37.43250152892102,"$603,118.00"
mystery-multiplier,$2.0,"$20,000",1:4.58,"1,677,113.56","730,546.64",$-0.75,-37.64046331114464,"$911,131.00"
easy-as-1-2-3,$2.0,"$20,000",1:4.90,"1,971,387.6","931,215.6000000001",$-0.76,-37.754962438344045,"$1,159,271.00"
triple-play,$2.0,"$20,000",1:4.69,"1,757,633.7800000003","826,804.79",$-0.76,-37.811620564026974,"$1,028,353.00"
bring-the-heat,$2.0,"$20,000",1:4.73,"1,584,725.0100000002","826,770.8900000001",$-0.76,-37.85460927391868,"$1,027,600.00"
wonder-bucks,$2.0,"$20,000",1:4.91,"1,707,658.72","1,031,114.73",$-0.76,-37.924463556058406,"$1,280,140.00"
aces-high,$2.0,"$20,000",1:4.35,"1,727,876.5499999998","444,478.64999999997",$-0.76,-37.99623446480499,"$551,187.00"
20000-power-shot,$2.0,"$20,000",1:4.55,"1,621,465.3","426,453.3",$-0.76,-38.08442800184686,"$528,082.00"
25000-spectacular,$2.0,"$25,000",1:4.84,"2,903,361.12","1,212,995.96",$-0.77,-38.27370208223941,"$1,497,475.00"
10x-the-money,$2.0,"$25,000",1:4.59,"1,573,878.8699999999","399,105.08999999997",$-0.77,-38.67605146303696,"$489,494.00"
home-run-riches,$2.0,"$20,000",1: 4.94,"1,720,908.28","840,511.3600000001",$-0.77,-38.68417197835375,"$1,030,733.00"
heat-stroke,$2.0,"$20,000",1:4.65,"1,000,986.9","601,607.7000000001",$-0.77,-38.737486238956066,"$737,120.00"
fast-money,$2.0,"$15,000",1:4.75,"2,869,665.0","677,844.0",$-0.78,-38.799930367459176,"$829,682.00"
cah-craze,$2.0,"$20,000",1:4.77,"1,732,459.2299999997","388,177.82999999996",$-0.78,-38.80716989942471,"$475,074.00"
cash-grab,$2.0,"$20,000",1:4.51,"1,142,901.65","344,830.08999999997",$-0.78,-39.05665250964611,"$420,302.00"
emerald-green,$2.0,"$20,000",1:4.54,"1,631,694.16","415,364.6",$-0.78,-39.21147830123222,"$504,988.00"
25000-bonus,$2.0,"$25,000",1:4.66,"1,755,510.54","546,226.56",$-0.79,-39.30146860672612,"$663,103.00"
double-match-4,$2.0,"$20,000",1:4.23,"1,877,857.7400000002","901,002.6900000001",$-0.79,-39.50162346352152,"$1,090,184.00"
win-win-win,$2.0,"$20,000",1:4.20,"1,756,087.2000000002","577,084.2000000001",$-0.79,-39.673101429566096,"$696,274.00"
elvis,$5.0,"$100,000",1:4.24,"1,973,838.7200000002","169,782.32",$-1.99,-39.70455816600927,"$511,855.00"
double-doubler-3,$1.0,"$5,000",1:4.90,"2,374,236.2","1,875,293.7000000002",$-0.40,-39.86707255508831,"$1,127,669.00"
piggy-bank-bucks,$1.0,$500,1:4.87,"2,513,450.83","1,135,240.83",$-0.40,-40.19251404127176,"$678,959.00"
diamond-and-dollar,$5.0,"$100,000",1:4.92,"1,381,452.3599999999","77,298.12",$-2.02,-40.31937646090228,"$230,660.00"
20000-jackpot,$2.0,"$20,000",1:4.73,"2,600,676.9800000004","645,422.6900000001",$-0.81,-40.510225942010194,"$767,921.00"
3-times-lucky-3,$1.0,"$3,000",1:4.75,"19,215,664.25","11,854,323.25",$-0.41,-41.1938425080487,"$6,971,072.00"
bankroll-doubler,$2.0,"$20,000",1:4.32,"1,612,176.4800000002","227,085.12000000002",$-0.86,-43.01409973493641,"$258,813.00"
ruby-7,$5.0,"$77,000",1:3.86,"1,372,141.22","92,501.04",$-2.21,-44.10873650717873,"$258,500.00"
200000-jackpot,$10.0,"$200,000",1:4.22,"1,255,239.0","77,285.08",$-4.42,-44.154162743960406,"$431,605.00"
winner-winner-chicken-dinner,$1.0,"$5,000",1:5.20,"2,741,310.0","286,249.60000000003",$-0.45,-44.589267548321466,"$158,613.00"
summer-lucky-times-5,$2.0,"$20,000",1:4.93,"1,681,302.5499999998","252,194.15",$-0.89,-44.72889240293638,"$278,781.00"
hamilton,$10.0,"$200,000",1:3.84,"1,130,227.2","48,983.04",$-4.50,-44.978915151040034,"$269,510.00"
money-maker,$5.0,"$100,000",1:4.94,"1,297,639.2000000002","80,467.66",$-2.26,-45.27490919954676,"$220,180.00"
100x-cash-blitz,$10.0,"$200,000",1:3.82,"1,039,070.5599999999","30,281.14",$-4.62,-46.19753417473714,"$162,920.00"
sapphire-blue,$5.0,"$100,000",1:4.31,"1,289,375.2899999998","115,650.23",$-2.32,-46.31657887753444,"$310,425.00"
1-lottery-ticket,$1.0,"$5,000",1:4.67,"3,189,558.63","461,405.33999999997",$-0.46,-46.33828901936852,"$247,598.00"
triple-tripler,$1.0,"$5,000",1:4.99,"2,992,378.25","303,332.12",$-0.47,-46.94693064486544,"$160,927.00"
jumbo-bucks-classic,$2.0,"$25,000",1:4.49,"1,853,454.04","284,944.38",$-0.94,-47.03141714884849,"$301,862.00"
moola,$1.0,"$5,000",1: 4.88,"2,516,215.84","548,272.88",$-0.48,-47.60036279744495,"$287,293.00"
bronze-7s,$2.0,"$20,000",1:4.88,"1,619,257.2","195,351.28",$-0.96,-48.132154547438844,"$202,649.00"
win-it-all,$10.0,"$200,000",1:3.98,"1,889,166.7","82,815.84",$-4.83,-48.314235537549344,"$428,040.00"
pink-panther-diamond-tripler,$5.0,"$100,000",1:4.26,"926,094.1799999999","50,238.18",$-2.55,-51.0571441879463,"$122,940.00"
bonus-cashword,$5.0,"$75,000",1:4.32,"1,315,980.0","97,809.12000000001",$-2.63,-52.502384235744074,"$232,285.00"
crossword-5,$3.0,"$30,000",1:4.83,"3,975,094.83","396,528.51",$-1.94,-64.66735771407711,"$420,312.00"
